Analysis_Type,Category,Time_Period,Count,Mean_Days,Median_Days,Std_Dev,Min_Days,Max_Days
Overall,All,Created to Updated,346557,76.71917019772751,0.0,126.31106012500922,0.0,553.7939403703704
is_group_company,False,Created to Updated,346556,76.7193622325964,0.0,126.31119177304899,0.0,553.7939403703704
is_group_company,True,Created to Updated,1,10.168334178240741,10.168334178240741,,10.168334178240741,10.168334178240741
company_type_id,5,Created to Updated,169536,70.16182524180138,0.0,121.58478674036324,0.0,553.7939403703704
company_type_id,18,Created to Updated,161321,84.09802205593792,0.0,131.68369819593082,0.0,541.9132954861111
company_type_id,3,Created to Updated,7766,79.57066999951265,3.138808119212963,122.59739506565086,0.0,553.4790976967593
company_type_id,8,Created to Updated,3050,38.74981564839101,1.231609664351852,90.8380933011035,0.0,416.8792450694444
company_type_id,15,Created to Updated,2013,89.6484391677476,31.163925625,110.13847165273556,0.0,427.84153188657405
company_type_id,7,Created to Updated,1533,68.6022358679423,3.1262873148148147,114.62451205029906,0.0,525.0133374189815
company_type_id,16,Created to Updated,529,76.54342549048694,0.690159826388889,120.5264314968605,0.0,405.1159592592593
company_type_id,19,Created to Updated,377,62.40970286340137,12.345419236111113,99.72926855552642,0.0,404.5545639351852
company_type_id,17,Created to Updated,172,101.55302234112565,7.958726579861111,139.91011161647,0.0,403.9205168981481
company_type_id,12,Created to Updated,138,70.14158184514226,5.710731880787037,100.04906733655946,0.0,402.3363657175926
Overall,All,Updated to Approved,336004,-75.19000437483884,-1.1574074074074074e-08,126.6400630251555,-486.7772800925926,0.0
is_group_company,False,Updated to Approved,336003,-75.19022815261575,-1.1574074074074074e-08,126.64018504426474,-486.7772800925926,0.0
is_group_company,True,Updated to Approved,1,0.0,0.0,,0.0,0.0
company_type_id,5,Updated to Approved,163229,-68.50393161893032,-1.1574074074074074e-08,121.88841058308788,-486.7772800925926,0.0
company_type_id,18,Updated to Approved,158069,-82.69168402815868,-1.1574074074074074e-08,131.94122417638857,-425.01838723379626,0.0
company_type_id,3,Updated to Approved,7279,-75.28021734000937,-1.1574074074074074e-08,121.8379969492086,-422.1720878009259,0.0
company_type_id,8,Updated to Approved,2949,-37.048681121931644,-0.06351196759259259,90.99272586029957,-416.8792450810185,0.0
company_type_id,15,Updated to Approved,1891,-86.58600164905766,-28.982622858796297,109.44552705663651,-405.24260769675925,0.0
company_type_id,7,Updated to Approved,1336,-70.32159486605782,-1.1574074074074074e-08,117.70178194445052,-405.44704525462964,0.0
company_type_id,16,Updated to Approved,512,-76.24477273561831,-1.1574074074074074e-08,122.18404350014582,-405.1159592708333,0.0
company_type_id,19,Updated to Approved,349,-56.43335859469516,-8.906630914351851,100.29878546531882,-404.5545639467593,0.0
company_type_id,17,Updated to Approved,161,-103.14647783737347,-3.101672615740741,142.6035857037505,-403.9205169097222,0.0
company_type_id,12,Updated to Approved,121,-77.50759451015841,-0.9894250231481482,103.65029833788628,-402.33636572916663,0.0
Overall,All,Created to Approved,336025,3.1050800820157782,-1.1574074074074074e-08,21.6240005854346,-218.40297569444445,543.7689132175926
is_group_company,False,Created to Approved,336024,3.105059061927641,-1.1574074074074074e-08,21.624029328768614,-218.40297569444445,543.7689132175926
is_group_company,True,Created to Approved,1,10.168334178240741,10.168334178240741,,10.168334178240741,10.168334178240741
company_type_id,5,Created to Approved,163245,3.4374788309010373,-1.1574074074074074e-08,22.651723640417295,-191.3161673726852,543.7689132175926
company_type_id,18,Created to Approved,158079,2.491547742415712,-1.1574074074074074e-08,19.25128491673498,-218.40297569444445,541.9132954745371
company_type_id,3,Created to Approved,7277,7.464992929861462,-1.1574074074074074e-08,36.06997778709286,-3.8194444444444445e-07,504.25485848379634
company_type_id,8,Created to Approved,2946,2.394689445678069,-1.1574074074074074e-08,13.282454003797659,-5.671296296296296e-07,400.1117749768519
company_type_id,15,Created to Approved,1891,6.592723790720421,-1.1574074074074074e-08,34.920485468962475,-6.249999999999999e-07,416.6233446527778
company_type_id,7,Created to Approved,1334,6.153654245585541,-1.1574074074074074e-08,33.96117771689524,-1.3888888888888888e-07,525.0133374189815
company_type_id,16,Created to Approved,512,2.110587423073097,-1.1574074074074074e-08,11.700533703903785,-6.944444444444444e-08,189.7229904976852
company_type_id,19,Created to Approved,351,10.415797668434104,1.8990214814814816,32.70546725569423,-2.3148148148148148e-08,242.16012108796298
company_type_id,17,Created to Approved,161,2.433447062988843,-1.1574074074074074e-08,11.422579756037711,-6.944444444444444e-08,108.84585395833334
company_type_id,12,Created to Approved,121,1.668681571587083,-1.1574074074074074e-08,5.445878183403263,-3.472222222222222e-08,45.983871875
